uid,chromatic_residual_chi2,chromatic_rank,phase_given_chromatic_chi2,phase_rank,remaining_chi2,post_source_chi2
P0039,1417.555647944494,6,181.99196623547755,2,1135.612741522299,2735.1603557022704
P0040,127.70753186596538,2,611.2560425588608,2,3935.434043761068,4674.397618185895
P0041,3.0622052560545874,2,0.24932943993389992,2,14.939191076210632,18.250725772199118
P0042,349.7167881025021,3,250.53784632984588,2,1621.1067630461303,2221.3613974784785
P0043,116.04943759025822,3,8.223259815704356,2,395.1788400860921,519.4515374920547
P0044,3.3199502134407384,2,64.13698988429584,2,228.86285851817837,296.3197986159149
P0045,594.9103870230524,5,177.5679021500273,2,666.7814787834145,1439.2597679564947
P0046,10.970799355144496,3,23.39789108005746,2,353.17895633916476,387.5476467743667
P0047,425.81265706912905,6,99.66873843676458,2,293.582499155835,819.0638946617289
P0048,1179.9966439830444,5,283.4752164694157,2,1280.2697308900406,2743.7415913424998
P0049,154.51210528479916,3,9.79192692488216,2,197.86358360523883,362.1676158149198
P0050,27.24358358357197,1,35.25967674026954,2,151.96894855586865,214.4722088797102
P0051,109.54544644266078,2,9.721821974842964,2,36.39514098886025,155.66240940636405
P0052,127.17050344662738,7,41.64967407950233,2,151.74033185860202,320.5605093847317
P0053,5312.9952890029945,2,7579.34783207656,2,13310.359103421819,26202.702224501383
P0054,1516.401231833516,4,1056.749340514681,2,2108.8566864074,4682.007258755594
P0055,2510.829261544339,5,922.2026102663158,2,13656.295134186266,17089.327005996915
P0056,99.43426702397026,4,175.69600798662222,2,220.09211886672202,495.2223938773145
P0057,558.6164093198695,4,167.61344655833906,2,1997.64845029348,2723.878306171688
P0058,563.4993634520652,6,714.3605965623726,2,1247.9159716316806,2525.7759316461184
P0059,102.26018405050237,2,1415.7175700210487,2,3396.679726796125,4914.657480867675
P0060,4.596483888557384,3,25.161128806833197,2,59.548925173449696,89.30653786884027
P0061,108.75072391859214,2,9.38251171942748,2,189.63122641445383,307.76446205247345
P0062,472.0230514298225,6,3.64925500951037,2,852.6048680823665,1328.2771745216996
P0063,54.288800901616696,2,2.3570709654481936,2,49.68915345967155,106.33502532673644
P0064,1409.8279450595842,4,1315.409994919864,2,897.6115408950592,3622.8494808745063
P0065,625.6381399317816,3,207.00665633581733,2,595.5737342873956,1428.2185305549951
P0066,1914.5817952845675,6,250.16235094407799,2,902.1602799733714,3066.9044262020193
P0067,110.92409345693004,6,154.36603840670674,2,608.2991182195977,873.5892500832344
P0068,59.39046327002933,4,249.97752701218403,2,184.03773365357395,493.4057239357873
P0069,60.94186507517054,3,37.449015128113786,2,88.50912213118548,186.90000233446975
P0070,51.962515497442766,3,9.50662404507095,2,54.80147197573535,116.27061151824901
P0071,81.20451927433209,2,33.410048303761485,2,24.179865487735047,138.79443306582854
P0072,287.6760182061027,4,102.62054892202096,2,370.93569235816074,761.2322594862845
P0073,19.215409757126924,1,162.5480002462397,2,109.33653910563007,291.0999491089967
P0074,81.23569989240491,4,88.23064141143539,2,104.22421825776931,273.6905595616095
P0075,97.09092442732918,2,3.3386445050678852,2,4.769249229664098,105.19881816206107
P0076,0.6623809293989351,2,61.23419305773796,2,94.21941794569044,156.1159919328273
P0077,706.7948186820213,5,146.54495310145595,2,219.8101057544603,1073.1498775379373
P0078,39.93722192383132,3,15.876117306104632,2,58.96921654296165,114.78255577289761
P0079,13.29899317318218,2,0.45781622891668583,2,1.1740520314208533,14.930861433519734
P0080,130.65404566267782,3,3.283122130249427,2,133.7664866390453,267.7036544319726
P0081,0.9616881547425145,2,3.7949988681851763,2,7.252867521258814,12.009554544186514
P0082,549.3471265741392,6,113.29331526758297,2,600.0775100748698,1262.717951916592
P0083,6.230081351169839,2,2.3937834526462067,2,9.756595874271047,18.380460678087097
P0084,298.9098496271916,2,42.831766568520045,2,139.71201255493875,481.4536287506504
P0085,71.35210049195183,5,81.88282539405925,2,379.2936125527083,532.5285384387192
